-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,99,100,101,-1,-1,45,46,47,-1,-1,-1,-1,62
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62
79,152,152,152,152,152,152,80,58,58,79,152,152,152,152,152,152,80
115,-2147483570,-2147483571,59,60,-2147483570,-2147483571,58,59,60,59,60,58,58,58,59,60,116
115,-2147483552,-2147483553,-2147483570,-2147483571,-2147483552,-2147483553,-2147483570,-2147483571,-2147483570,-2147483571,58,-2147483570,-2147483571,77,78,1610612796,116
51,58,58,109,110,110,110,110,110,110,110,110,110,110,111,96,1610612795,50
69,58,58,127,128,128,128,128,128,128,128,128,128,128,129,-2147483571,58,68
115,1610612796,1610612796,145,146,146,146,146,146,146,146,146,146,146,147,-2147483553,58,116
51,1610612795,1610612795,-2147483570,-2147483571,1610612796,-2147483570,-2147483571,58,-2147483552,-2147483553,-2147483570,-2147483571,-2147483570,-2147483571,58,58,50
69,-2147483570,-2147483571,-2147483552,-2147483553,1610612795,-2147483552,-2147483553,-2147483570,-2147483571,1610612796,-2147483552,-2147483553,-2147483552,-2147483553,-2147483570,-2147483571,68
-1,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,-1
