30,20,1,

4,4,4,14,4,4,4,14,4,4,4,14,4,4,4,14,4,4,4,14,4,4,4,14,4,4,4,63,64,65,
22,3,3,32,3,3,3,32,3,3,3,32,3,3,3,32,3,3,3,32,3,3,3,32,3,3,3,81,82,83,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,100,101,
51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,
69,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,68,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
51,3,3,3,3,3,3,3,109,110,110,110,110,110,110,110,110,110,110,110,110,111,3,3,3,3,3,3,3,50,
69,3,3,3,3,3,3,3,127,128,128,128,128,128,128,128,128,128,128,128,128,129,3,3,3,3,3,3,3,68,
22,3,3,3,3,3,3,3,127,128,128,128,128,128,128,128,128,128,128,128,128,129,3,3,3,3,3,3,3,24,
22,3,3,3,3,3,3,3,127,128,128,128,128,128,128,128,128,128,128,128,128,129,3,3,3,3,3,3,3,24,
51,3,3,3,3,3,3,3,127,128,128,128,128,128,128,128,128,128,128,128,128,129,3,3,3,3,3,3,3,50,
69,3,3,3,3,3,3,3,145,146,146,146,146,146,146,146,146,146,146,146,146,147,3,3,3,3,3,3,3,68,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,
69,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,68,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
